Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Cover_Type
117,8,136,227,3515,238,208,180,3248,1,1
13,5,83,9,3482,217,211,169,2072,1,2
322,9,60,-1,3527,187,203,127,1814,1,2
230,18,125,-5,2624,207,232,174,2049,1,1
33,17,209,51,2909,237,205,104,1423,1,1
124,7,373,178,5758,195,211,182,3241,1,2
328,19,325,3,3985,209,239,195,1687,1,2
324,3,93,10,2351,184,228,171,1994,1,2
42,14,147,10,2857,223,200,91,2516,1,1
336,13,111,58,2362,211,240,156,4844,1,2
45,8,175,33,3852,243,245,140,2017,1,1
18,15,45,-3,4242,234,242,168,3399,1,2
232,20,226,49,4532,241,234,179,2163,1,2
338,5,477,33,5870,237,241,97,1550,1,1
343,3,125,-11,3244,197,217,128,2481,1,1
128,4,276,2,2587,237,211,101,2790,1,2
142,3,237,3,2398,244,223,127,1752,1,2
52,5,68,1,2553,240,202,151,2400,1,2
7,8,123,90,3672,213,248,89,1860,1,2
229,4,275,19,2426,214,215,172,2027,1,2
161,13,145,73,2878,224,202,102,2842,1,2
51,19,653,26,5092,233,219,123,2407,1,2
7,9,66,19,3424,245,236,107,4325,1,2
53,11,519,7,3768,232,202,205,1631,1,2
116,8,100,36,2034,239,229,135,1694,1,1
40,10,201,0,5563,211,228,202,1474,1,1
85,8,541,59,3662,245,221,197,2042,1,1
300,10,159,9,2510,211,213,191,2498,1,2
330,5,31,8,3014,237,249,203,1772,1,1
51,6,47,204,5119,235,214,207,2744,1,1
336,11,38,29,4977,233,253,169,2336,1,1
333,5,294,110,2847,229,228,111,1608,1,2
230,14,918,-1,5591,229,242,144,2106,1,2
93,11,57,82,3242,169,245,157,1821,1,2
39,18,407,20,3299,222,241,124,1987,1,1
13,14,196,123,4315,192,227,171,1444,1,2
26,17,728,13,4644,215,240,179,1942,1,1
166,17,124,4,2408,223,216,146,4284,1,2
85,12,390,-38,1998,219,225,133,1715,1,2
150,11,38,39,6051,202,217,137,2112,1,2
132,0,272,12,3029,223,232,161,1528,1,2
8,16,110,45,4119,226,247,212,1471,1,1
157,12,326,-4,3063,232,249,109,1585,1,2
266,19,180,6,2606,236,203,160,1976,1,1
176,17,40,34,6849,181,232,117,3181,1,2
284,10,462,200,4808,187,225,90,4803,1,2
57,14,36,63,3900,219,232,156,4264,1,2
127,7,349,-11,3238,214,228,156,1408,1,2
109,11,1162,44,4977,229,239,190,1564,1,1
105,13,48,20,3646,210,199,148,2025,1,1
100,11,204,10,2898,245,231,163,7114,1,2
94,11,117,22,4508,240,214,216,1925,1,1
14,18,111,63,2029,214,216,137,5303,1,2
174,14,465,16,3196,217,200,133,2986,1,2
70,19,153,3,5574,241,210,170,2027,1,1
249,20,196,169,4819,205,221,108,2290,1,2
259,3,36,55,5409,223,218,174,2144,1,1
57,4,340,-2,5804,228,205,103,1578,1,1
123,13,385,46,7120,229,202,124,1639,1,2
244,15,126,12,3362,190,195,141,2593,1,1
88,21,508,26,4308,193,199,96,6857,1,2
160,10,62,-4,5828,221,218,108,1623,1,2
135,15,276,56,4328,204,211,142,1826,1,2
88,9,164,98,2327,207,225,143,2986,1,1
142,15,68,86,2931,221,230,119,1998,1,1
155,10,1111,33,2633,230,227,149,2088,1,1
331,8,74,2,2262,207,229,148,2505,1,2
163,10,420,-40,2208,243,215,130,2022,1,2
281,20,270,48,3863,206,232,196,2199,1,2
67,12,1067,11,2990,245,213,179,2934,1,2
99,11,213,85,2798,217,233,113,2360,1,1
18,10,1392,3,4474,244,248,177,2448,1,2
114,8,77,-3,1956,219,207,147,3163,1,1
256,5,443,37,2878,228,221,118,1896,1,1
32,19,113,22,5138,228,210,204,1437,1,1
354,16,71,42,3125,212,226,154,2587,1,1
58,4,251,62,5084,224,252,136,6543,1,2
129,12,348,70,5402,227,240,197,2422,1,2
176,10,118,32,4970,245,229,177,1922,1,1
20,11,232,221,3474,215,231,93,2175,1,1
184,5,312,12,5301,198,248,117,2013,1,2
295,15,183,14,4250,243,237,110,2665,1,2
1,20,318,64,3210,195,209,201,2055,1,1
88,4,145,11,2582,216,216,196,1964,1,1
37,13,422,-40,2567,197,238,97,3043,1,1
99,4,231,83,3302,233,215,163,1508,1,2
289,11,193,9,5994,212,234,144,3252,1,2
121,12,188,0,2621,186,224,174,2125,1,2
148,5,135,24,2371,195,226,144,2793,1,1
267,15,584,120,6059,180,250,198,2051,1,1
25,8,54,24,2056,214,234,126,2596,1,2
300,15,199,26,3521,227,248,137,1391,1,2
147,6,210,16,2510,221,214,108,1674,1,1
285,8,274,-4,2601,232,222,112,1778,1,2
193,4,393,10,3994,217,196,178,2471,1,2
61,6,240,155,3293,188,213,176,1600,1,2
303,13,70,-60,4348,243,209,178,1634,1,1
270,19,167,209,3343,233,245,143,1596,1,2
107,20,265,41,3957,201,254,141,2280,1,2
176,11,411,1,3076,209,230,145,3888,1,2
82,4,190,32,2049,202,237,142,1952,1,1
225,6,106,-6,3564,223,215,177,1487,1,1
61,19,649,44,3715,207,234,135,2969,1,1
47,8,589,-4,3477,194,236,213,2082,1,1
96,16,459,-6,2461,201,212,100,2593,1,2
66,7,299,70,4517,228,218,200,2364,1,1
115,5,108,46,1960,207,234,135,6285,1,1
60,8,124,28,3002,196,221,140,2848,1,2
114,3,324,42,3252,244,222,108,1923,1,2
264,20,169,17,3884,200,221,186,1451,1,2
105,3,624,3,4116,234,239,153,1374,1,1
174,17,180,42,2604,231,252,179,1989,1,2
315,3,96,159,4014,243,248,133,1636,1,2
5,-2,159,87,2549,193,229,149,2139,1,2
118,15,281,22,2497,223,242,126,2586,1,1
89,12,437,4,2260,201,233,99,4177,1,1
86,3,149,77,6307,180,210,106,2238,1,1
145,7,67,171,6488,215,230,90,2707,1,2
19,9,538,53,2653,177,227,117,1725,1,2
42,10,305,78,2412,193,232,96,2029,1,1
321,15,168,1,5020,227,242,212,1579,1,2
309,2,211,18,6137,189,250,102,2693,1,2
34,8,213,21,1971,244,227,102,1818,1,2
63,15,131,101,4827,225,244,134,1573,1,1
108,4,36,39,4831,193,222,136,1806,1,2
7,11,32,51,5249,212,231,209,4461,1,2
84,6,362,3,2054,212,225,115,4054,1,1
166,6,111,5,4025,203,251,88,2576,1,2
117,11,264,22,3352,211,224,121,1535,1,2
160,16,161,-1,2306,226,208,123,3064,1,2
73,11,431,82,2715,211,217,160,1513,1,1
75,18,66,53,2607,233,225,108,1509,1,1
137,13,91,145,4267,220,226,147,5514,1,1
93,3,138,6,3218,232,203,190,1696,1,2
7,17,293,0,2852,235,226,131,1415,1,2
109,16,276,7,4232,216,219,144,1427,1,2
139,19,32,26,2797,186,245,127,2102,1,1
102,12,449,147,2377,241,228,142,1851,1,2
73,9,131,181,3780,225,245,93,2881,1,1
43,7,120,206,2900,202,226,192,1827,1,2
169,12,326,73,5011,202,224,176,1941,1,1
95,9,51,-8,3324,203,229,170,1614,1,2
114,13,259,-4,2250,228,204,151,2297,1,1
2,19,236,-71,3378,170,250,185,3842,1,2
107,3,69,135,5740,185,222,104,2650,1,1
56,9,225,146,3212,225,241,169,1515,1,2
99,8,140,2,2455,216,236,155,1527,1,2
290,16,152,204,2911,238,220,122,6373,1,2
318,5,271,135,2549,239,236,117,2178,1,1
223,12,61,1,4498,245,229,130,1849,1,1
279,11,274,59,3689,226,205,172,3409,1,1
68,11,379,90,2787,206,240,180,3055,1,2
1,5,382,183,2793,179,249,160,3011,1,2
146,14,492,0,4616,214,202,136,1446,1,1
133,14,284,2,6529,195,224,130,1471,1,2
321,10,119,70,5109,243,208,102,2213,1,1
106,4,144,80,2090,219,239,120,1991,1,2
131,7,79,49,4244,208,204,123,2379,1,2
62,8,234,213,4751,213,217,117,1951,1,2
296,15,507,14,2762,235,220,163,1484,1,2
120,12,113,181,4397,224,241,183,1421,1,1
52,19,32,52,6276,202,246,104,4402,1,2
320,12,45,111,5036,227,247,174,1439,1,1
235,15,358,116,2048,205,228,198,2875,1,2
112,15,237,159,2082,210,228,131,5139,1,1
37,3,167,-35,2554,228,212,145,2907,1,1
159,15,30,56,3384,218,232,122,2552,1,1
59,4,121,15,2230,218,217,91,2102,1,2
254,8,426,0,2431,215,234,100,2121,1,2
78,14,85,16,5963,172,201,118,2929,1,2
33,19,156,23,4008,190,219,206,1596,1,1
2,16,320,51,2526,232,228,172,3402,1,2
125,13,126,241,2833,231,234,181,4829,1,1
70,17,85,227,3437,226,242,134,2613,1,2
163,19,1013,106,3713,223,215,160,5796,1,1
63,13,128,7,2435,222,208,124,2055,1,1
82,15,76,5,2522,226,226,93,3133,1,1
79,11,178,32,2316,195,236,103,2442,1,2
294,14,139,10,2531,244,209,117,2473,1,2
7,20,222,123,7073,192,214,196,2169,1,2
187,17,43,108,5801,230,220,110,2827,1,2
58,8,131,84,2553,178,234,145,1950,1,2
123,13,432,8,2952,224,207,153,1889,1,2
169,13,132,58,2075,201,223,129,2123,1,2
160,17,330,25,3381,183,194,102,1846,1,1
122,19,463,0,3117,207,203,142,1562,1,1
134,0,78,1,2599,203,243,134,4233,1,1
190,17,268,34,4232,235,249,145,2056,1,2
68,13,231,191,2035,244,213,123,3941,1,1
214,5,273,53,2509,224,210,166,2226,1,2
46,3,178,-27,3682,200,221,156,1813,1,1
6,5,202,173,4751,221,226,133,2233,1,2
39,19,165,38,2038,191,202,147,4159,1,1
236,4,208,40,2898,198,226,205,1911,1,2
95,5,507,-2,4613,221,200,161,2704,1,2
352,17,187,-15,2875,244,201,126,1790,1,1
121,17,433,50,2502,223,229,158,7374,1,2
316,17,33,-46,3089,226,219,111,2056,1,2
194,10,176,53,2089,211,234,159,1567,1,1
326,17,132,19,2118,215,222,154,1907,1,2
114,9,241,22,4442,174,235,118,2727,1,2
56,13,102,109,4712,185,198,141,3398,1,2
116,9,703,274,5359,198,242,148,1636,1,1
350,3,568,63,2481,244,225,166,4517,1,1
312,13,142,200,2957,231,233,162,1587,1,1
327,5,44,-1,3713,242,207,118,1632,1,2
23,20,321,25,2812,210,247,157,2798,1,2
96,10,130,-6,5879,186,221,103,1684,1,2
183,9,96,29,2327,178,224,171,2438,1,2
287,5,214,23,2380,213,235,156,1479,1,2
180,10,271,19,4095,230,206,93,4218,1,1
113,8,68,11,2599,234,253,163,2116,1,1
318,16,299,-21,4204,210,253,150,2048,1,2
260,12,87,5,3676,180,205,179,3720,1,1
337,15,108,30,5212,226,233,190,2065,1,2
262,3,181,-1,2427,221,229,145,3438,1,2
346,16,266,61,2379,219,247,160,2176,1,2
257,11,108,77,2520,205,244,143,2076,1,1
81,19,280,105,1957,215,214,144,6042,1,1
58,7,43,31,2566,188,223,139,1865,1,1
185,7,376,200,2052,215,235,137,2079,1,2
42,14,141,107,2079,242,227,124,2669,1,2
90,1,215,155,2145,227,222,95,2782,1,2
96,17,191,139,5204,235,233,126,2850,1,1
274,16,30,51,3841,219,213,98,3594,1,2
170,15,150,3,2866,222,218,135,1462,1,1
252,12,80,27,2242,196,213,141,1825,1,1
248,15,321,112,3982,231,201,121,1697,1,2
13,7,30,57,4731,202,238,179,1798,1,1
190,17,391,48,4942,217,221,215,3131,1,2
82,11,85,162,2640,209,210,123,2154,1,2
76,5,311,57,2356,214,227,143,2279,1,2
155,7,185,26,2341,179,208,129,1856,1,1
26,19,123,110,2520,205,225,132,4920,1,1
148,17,78,6,2456,188,212,170,2664,1,1
270,21,271,169,3232,188,251,156,2588,1,2
220,10,409,2,4716,165,232,153,1525,1,1
89,6,451,66,2018,200,222,114,2631,1,1
71,14,945,10,2582,222,206,121,1850,1,2
214,3,414,206,3082,195,222,194,1636,1,2
329,11,58,19,2458,186,205,190,1694,1,1
31,1,40,23,2727,214,241,204,3203,1,2
91,9,376,74,3886,224,241,143,1925,1,1
39,12,234,53,2014,198,207,130,5693,1,2
111,9,433,148,5296,187,251,138,2128,1,2
161,11,256,3,2056,216,204,109,4361,1,2
56,4,68,-38,2629,182,232,130,2253,1,1
36,5,391,84,4187,229,250,211,1428,1,2
61,0,438,76,3734,181,219,173,1557,1,2
94,19,463,0,5806,188,229,163,1477,1,2
156,11,186,104,2505,224,213,154,2103,1,2
327,9,502,51,2401,211,246,182,3266,1,2
26,9,384,23,2098,240,237,163,1995,1,2
153,19,108,59,3746,171,205,132,1459,1,2
273,15,71,66,2549,209,247,125,3761,1,1
179,9,435,0,1963,207,209,149,2123,1,2
182,11,368,-2,6471,193,245,104,3195,1,2
61,1,160,-90,2665,190,207,169,2629,1,2
299,13,475,6,2454,244,205,144,2206,1,1
132,14,99,6,5109,234,214,156,1376,1,2
129,17,129,39,2276,223,232,166,1804,1,1
49,11,440,7,3266,224,218,114,1369,1,1
124,13,242,92,2228,236,241,145,5127,1,2
23,17,139,233,3159,203,209,125,2518,1,2
293,17,207,238,3830,244,220,149,1735,1,2
65,20,197,25,3655,232,213,152,1691,1,1
253,20,165,4,3286,240,207,147,2011,1,1
96,12,205,253,6439,242,242,187,1793,1,2
74,11,159,-24,5415,198,198,144,3443,1,2
107,0,119,24,1968,240,209,141,2361,1,2
3,15,34,45,5916,220,223,113,1596,1,1
2,8,841,63,2080,217,204,144,4776,1,2
88,11,110,176,5700,222,250,100,2206,1,2
256,20,413,0,4066,191,218,172,2166,1,2
110,16,350,39,4994,199,215,102,1462,1,2
101,11,44,10,2398,235,230,163,4607,1,1
71,13,324,212,2008,206,226,111,2534,1,2
288,16,688,229,3749,245,221,148,2537,1,2
226,12,99,63,4289,201,227,215,2800,1,2
120,13,43,-32,2459,195,238,128,2174,1,1
322,11,109,6,3624,226,205,175,1699,1,2
61,6,179,-4,2336,203,203,120,1966,1,2
290,18,88,51,2461,220,204,147,2199,1,2
296,11,97,10,3004,206,247,187,1646,1,2
85,9,150,44,2108,195,231,146,2244,1,2
325,15,416,-18,2676,181,220,97,1795,1,2
105,9,322,36,4815,188,200,107,2025,1,2
93,10,214,263,4187,199,232,132,1550,1,2
353,14,164,13,2666,241,221,198,2047,1,1
36,14,437,-4,2565,239,204,165,2352,1,1
309,15,208,18,2227,192,200,161,3029,1,2
160,19,506,198,2367,230,208,146,2001,1,2
92,5,121,129,2379,221,204,142,2755,1,2
91,17,335,0,2508,180,227,133,2197,1,1
24,12,194,22,2653,234,198,169,2055,1,2
70,10,97,72,2138,190,205,145,4335,1,2
358,11,307,44,2020,192,250,155,2365,1,1
54,7,31,-9,2827,215,244,171,1739,1,2
339,18,93,15,2329,244,211,107,2965,1,1
95,11,37,58,2645,206,227,100,2308,1,2
39,7,243,0,4164,232,199,208,2232,1,1
161,11,325,9,2524,239,215,137,2319,1,1
24,8,306,0,2478,179,228,136,1772,1,2
76,12,142,26,7337,201,233,167,1426,1,2
307,7,263,53,4700,217,247,109,1397,1,2
17,18,284,300,6178,221,228,109,3705,1,2
67,4,47,135,6049,201,231,176,2163,1,2
104,12,65,9,4383,211,226,97,1661,1,1
193,9,643,2,2076,208,233,137,2457,1,2
137,16,48,0,4674,245,214,137,2583,1,1
108,15,271,75,2513,211,221,104,1498,1,1
343,12,203,132,2573,218,219,123,1901,1,2
167,9,133,12,2154,207,222,171,1798,1,1
176,5,184,68,2194,191,237,121,5374,1,1
174,18,55,26,2045,241,221,132,4092,1,2
308,13,127,52,2302,214,218,113,1832,1,2
89,11,31,7,2995,235,235,143,1477,1,1
323,14,31,-4,4821,243,226,104,1870,1,2
334,3,126,7,2322,220,210,148,1732,1,2
6,10,407,44,2724,173,222,180,2184,1,2
45,10,200,28,2019,226,242,129,5039,1,1
139,7,468,-7,3768,198,223,125,1368,1,1
172,1,188,42,2010,202,231,117,2282,1,2
96,9,109,60,2700,201,240,98,3916,1,2
325,5,110,93,1975,208,225,164,2292,1,2
101,4,863,6,4020,230,221,126,1323,1,2
144,-1,83,111,3963,241,250,206,3940,1,2
33,11,116,13,2223,215,213,167,2344,1,2
255,22,263,94,3286,203,249,177,2106,1,2
116,12,459,100,4150,179,226,122,2806,1,1
265,13,102,74,2393,243,233,136,3941,1,2
78,18,66,-35,2385,199,197,125,1773,1,1
46,2,1283,0,5579,219,231,121,2998,1,1
355,11,118,32,3876,205,243,199,4448,1,1
291,2,154,0,3690,221,249,150,1446,1,2
26,12,191,-4,5019,188,197,173,2849,1,1
279,12,414,7,4637,193,227,102,1574,1,1
106,20,137,4,3034,205,221,128,1928,1,1
342,14,429,198,3733,220,222,189,2412,1,1
95,20,261,76,4650,189,224,106,1622,1,1
66,6,31,50,5379,242,244,169,1664,1,2
77,12,337,1,2245,236,201,97,2151,1,1
161,6,63,110,2607,193,212,140,1740,1,1
73,9,186,-21,2129,209,236,116,1854,1,2
306,2,312,69,4862,219,233,166,1489,1,2
102,4,163,50,2519,215,229,192,3566,1,2
87,10,40,172,2769,238,233,159,2237,1,1
109,21,195,95,5410,217,207,119,4687,1,1
25,12,277,2,4356,209,226,92,4305,1,1
81,13,229,4,4672,197,201,191,1642,1,2
41,11,531,162,2072,226,207,163,2625,1,1
57,19,311,323,4854,180,225,108,2473,1,1
112,9,40,38,2474,211,228,128,2350,1,1
221,20,115,-93,6198,203,222,145,1664,1,1
143,12,104,27,2197,200,235,167,1974,1,2
258,9,472,-4,3327,193,219,137,1432,1,1
75,11,207,-16,5649,204,197,186,1822,1,2
335,4,245,53,4637,211,245,180,1441,1,2
97,22,102,140,3121,248,219,79,1985,1,1
152,10,397,22,2459,233,216,88,3166,1,2
187,9,661,3,2619,244,247,102,5242,1,2
309,9,280,147,2294,199,205,126,2697,1,2
264,14,160,44,2174,223,206,102,1964,1,1
346,9,266,-4,5315,242,205,212,2157,1,2
33,9,579,-217,2350,241,215,96,1604,1,2
116,19,255,126,2563,218,198,153,1984,1,2
24,13,257,175,3161,226,240,171,2888,1,1
310,17,41,0,6688,220,202,181,2210,1,2
345,5,122,46,1964,200,219,197,1969,1,2
292,17,72,27,4939,188,246,192,653,1,1
344,14,133,88,2215,233,231,152,5498,1,1
9,8,61,9,4720,217,228,124,1077,1,1
133,16,84,-5,2576,229,199,105,5762,1,2
28,14,174,267,3542,241,211,112,1604,1,1
16,8,282,7,3537,216,212,88,5112,1,2
114,8,95,112,3646,237,225,114,1358,1,2
72,5,102,53,5096,179,243,203,1857,1,2
136,19,38,201,3870,230,216,104,5614,1,1
63,20,79,-6,5918,231,195,129,1584,1,1
76,18,114,62,2369,209,198,166,2948,1,2
0,20,90,121,4328,212,221,170,1947,1,2
120,6,93,52,4910,212,204,105,3223,1,1
296,11,196,0,2286,226,213,125,3032,1,2
258,17,54,74,4216,177,229,151,1998,1,2
69,7,39,0,3138,235,222,114,1477,1,1
146,6,422,54,2848,212,251,143,2380,1,2
99,10,275,49,2167,171,214,143,2235,1,2
295,15,299,39,2439,201,242,103,2500,1,1
98,14,346,35,2616,225,242,167,1732,1,2
138,21,223,56,5143,239,230,137,2185,1,2
342,7,43,9,2752,231,215,162,1441,1,1
23,7,31,144,2901,215,234,117,1778,1,1
27,7,406,33,5245,206,223,140,1128,1,1
142,13,80,27,2536,226,244,96,5977,1,2
126,7,265,112,6258,186,242,179,1705,1,2
40,13,60,65,2320,226,245,145,2377,1,2
255,11,342,80,2078,230,211,134,2176,1,2
136,13,322,56,3930,214,231,150,715,1,2
96,9,214,3,5162,165,232,196,1496,1,2
344,9,226,36,3278,213,227,88,2219,1,1
306,15,81,108,3526,185,216,121,1453,1,2
107,11,97,39,6436,195,239,126,4342,1,2
1,8,318,3,3064,231,235,217,2077,1,1
42,11,199,27,4683,211,235,115,1515,1,2
185,-1,281,35,3722,224,239,108,1387,1,1
281,16,191,132,5399,215,233,208,1336,1,2
183,18,350,2,2114,244,216,140,4554,1,1
188,8,221,-5,2607,193,247,209,2571,1,2
176,20,106,88,2315,225,247,131,2343,1,1
313,10,102,17,2469,223,210,133,1709,1,2
336,21,64,26,5004,199,221,192,1981,1,2
64,20,356,12,2073,227,204,110,2098,1,2
318,10,110,181,2174,209,234,164,2406,1,2
346,12,363,86,5342,227,227,140,1983,1,2
134,4,163,338,5000,232,223,120,2024,1,2
162,1,138,18,2086,178,231,134,1801,1,2
18,17,351,2,2183,222,219,109,1464,1,2
359,7,432,7,3950,217,237,183,1144,1,1
247,12,119,51,2587,190,234,168,1734,1,2
85,6,260,22,2339,240,206,157,1717,1,1
133,18,41,-21,5123,235,231,148,1453,1,2
35,11,351,98,1927,234,233,136,2690,1,2
335,11,192,95,4774,191,200,93,1728,1,2
53,3,227,8,2045,199,223,162,2734,1,2
79,12,37,1,2337,206,211,154,3032,1,2
5,11,148,10,3632,190,233,124,1582,1,2
184,17,54,104,3557,198,233,134,1597,1,2
81,20,475,-17,3320,211,233,131,3378,1,1
130,7,153,-1,2568,180,229,121,1987,1,1
147,7,144,42,1921,231,206,113,2393,1,1
47,4,273,-12,2573,203,224,163,1924,1,1
85,10,30,95,2701,217,236,120,3046,1,1
28,0,302,-42,4566,207,242,203,3618,1,2
324,9,211,1,2320,189,245,137,2431,1,1
46,10,395,99,3616,194,235,128,1518,1,2
50,8,414,45,3558,229,229,136,1638,1,2
227,-2,275,-7,3716,215,247,176,1375,1,2
345,21,66,23,3720,212,230,141,4033,1,1
305,19,145,104,2092,186,225,151,4568,1,2
98,16,36,54,3610,219,236,118,2920,1,2
11,13,37,122,3508,212,227,194,5792,1,2
30,12,40,33,5183,174,220,89,4297,1,1
215,16,178,52,2034,208,202,187,1781,1,2
63,11,527,13,3747,221,217,184,1353,1,2
148,9,284,50,2410,210,246,166,1702,1,1
140,11,102,57,3718,200,242,187,1352,1,1
191,8,274,-4,2527,240,215,179,1854,1,1
53,11,178,79,2357,232,203,165,2611,1,2
38,7,196,96,2519,240,229,170,3954,1,2
90,17,245,184,2820,174,228,165,2437,1,2
68,20,260,2,4490,226,222,132,2073,1,1
299,7,41,53,2394,209,224,155,5072,1,1
301,14,856,2,2608,216,230,91,2366,1,2
297,3,94,93,3167,174,243,174,3527,1,2
11,16,196,103,3816,165,199,165,1539,1,2
133,11,219,18,5931,223,244,103,2018,1,1
68,14,128,88,2375,205,233,183,2438,1,1
229,10,483,14,2233,240,213,131,2405,1,2
57,11,171,29,5395,245,229,142,6413,1,1
93,17,450,-8,2567,204,221,168,1810,1,1
12,15,256,27,6202,222,199,88,1496,1,1
56,14,1167,88,2575,189,233,167,1927,1,2
30,7,367,237,5715,211,240,147,1176,1,2
17,20,282,-4,6295,181,199,105,1575,1,2
38,2,325,69,3831,224,248,152,2419,1,1
320,13,345,-1,2169,197,223,125,2958,1,2
84,5,50,30,2177,239,227,166,4433,1,1
14,14,346,37,2123,215,202,138,2211,1,2
191,11,435,93,2078,188,241,199,2171,1,1
342,5,87,30,3097,236,226,181,2876,1,2
41,17,356,37,2368,187,230,186,1891,1,1
318,3,277,2,3636,215,243,180,1458,1,2
332,7,187,54,4048,226,241,181,1139,1,1
10,12,480,101,2423,173,223,146,2579,1,2
39,2,30,1,3039,211,249,151,3057,1,1
289,1,74,37,2579,218,239,88,1832,1,2
130,5,317,10,1988,224,196,132,3649,1,1
93,27,87,3,2957,237,184,72,2917,1,2
344,17,282,1,2906,215,206,152,2154,1,2
23,16,51,-1,6282,231,215,162,2483,1,2
145,5,64,1,4476,222,235,123,2627,1,1
154,17,431,-5,2116,229,224,157,1933,1,2
262,8,165,54,2116,173,205,153,1700,1,2
81,1,281,14,4046,212,224,148,654,1,1
169,6,89,36,2092,237,251,128,2135,1,2
346,16,539,48,4021,245,236,118,1569,1,1
344,15,67,9,2769,229,201,181,2924,1,1
57,14,899,0,5521,239,217,188,4424,1,2
124,17,71,137,2428,188,225,117,3804,1,2
109,13,305,74,4557,211,215,99,2078,1,1
168,7,483,140,3769,237,242,158,1361,1,2
97,12,126,16,3899,219,236,174,2618,1,2
113,9,265,-8,5934,216,232,145,1133,1,1
354,8,1048,167,5721,229,247,127,2560,1,1
257,16,45,52,3419,191,200,169,1461,1,2
37,2,63,-12,5203,240,223,113,1295,1,1
137,14,49,-4,4211,207,225,138,1511,1,2
45,4,231,4,4143,163,229,175,1546,1,1
41,19,570,94,2574,204,239,165,3299,1,2
319,17,95,48,2936,219,220,190,1978,1,2
332,22,415,24,3834,214,229,160,2427,1,2
297,18,447,29,3271,222,225,220,3019,1,2
314,9,37,15,2963,211,216,134,4847,1,2
57,12,208,134,5022,235,222,121,842,1,1
128,12,233,10,3083,240,214,117,2192,1,2
288,3,545,177,4075,218,228,183,644,1,1
23,10,137,14,2104,207,199,90,3883,1,1
57,18,230,124,4028,224,207,116,1225,1,1
60,14,174,4,5125,219,220,135,725,1,1
109,9,211,-61,1874,238,230,127,1751,1,2
334,17,269,128,2018,207,220,110,1859,1,2
311,11,42,64,3095,237,197,110,3554,1,2
282,11,400,121,4556,235,218,173,1473,1,1
17,11,60,14,2628,236,243,165,4117,1,2
294,10,153,61,6910,205,207,119,1933,1,1
71,15,126,52,5002,216,208,120,506,1,1
342,11,93,-13,2091,231,232,99,4706,1,2
189,15,585,104,2004,205,200,153,2663,1,1
210,14,282,16,2166,229,218,161,2060,1,1
157,14,117,16,3306,195,240,143,3678,1,2
84,19,372,10,3103,212,207,114,1639,1,1
272,6,120,216,2441,174,216,172,2005,1,2
39,15,659,36,3947,216,246,180,1645,1,2
250,15,48,44,2171,223,222,127,2002,1,2
96,8,399,73,2819,234,221,115,2206,1,2
261,15,1073,69,2443,183,216,156,1783,1,2
266,14,387,16,3415,227,233,173,3330,1,2
31,13,182,40,6300,244,208,148,1363,1,1
89,4,314,13,4406,209,232,216,2059,1,1
6,16,33,-8,2709,230,220,132,2572,1,2
83,10,690,100,3757,220,229,165,2490,1,2
79,14,221,8,5409,202,210,137,3251,1,2
41,7,32,5,4275,211,225,102,1467,1,2
137,7,635,10,3717,224,246,125,1438,1,2
75,10,59,129,2683,223,229,161,2297,1,1
116,13,345,62,2674,230,211,85,2108,1,1
48,12,575,145,2599,179,250,158,1737,1,2
340,9,61,-3,4755,217,231,172,563,1,1
35,12,147,55,1894,221,211,119,3519,1,2
335,13,181,12,4023,183,230,157,340,1,2
25,12,122,-43,3518,193,233,143,1697,1,1
87,7,67,117,2060,214,220,160,3593,1,1
101,11,177,1,2612,211,230,175,1802,1,1
308,12,477,60,2444,222,243,123,1895,1,2
66,12,211,112,3254,228,233,192,2233,1,2
348,18,33,85,2939,177,225,139,1681,1,2
298,0,38,31,5351,189,226,118,1460,1,2
194,22,183,7,2913,219,231,100,1903,1,1
85,1,531,37,4099,219,220,140,920,1,1
323,11,222,98,4476,207,235,148,871,1,1
152,13,278,35,5388,212,213,147,717,1,1
45,6,364,3,5088,224,222,147,2959,1,2
80,10,40,47,4098,224,212,154,1415,1,2
296,14,388,-1,2872,212,229,153,6468,1,2
80,16,99,49,4938,201,217,148,868,1,1
201,6,89,-18,2737,235,240,148,1745,1,2
67,5,380,109,3057,199,237,193,2181,1,2
274,11,49,11,2062,193,226,109,4252,1,2
107,21,165,21,5506,233,252,131,1980,1,1
194,9,163,21,3106,237,243,171,3236,1,1
65,12,84,160,2231,222,201,125,2046,1,1
291,17,332,-6,5596,224,228,149,2741,1,2
86,6,308,107,4330,197,220,132,1295,1,2
33,12,1020,218,4258,175,214,134,2310,1,1
14,18,1147,-5,2191,230,229,147,2949,1,2
284,12,300,-26,2356,233,207,180,3795,1,1
340,17,325,0,4427,191,229,170,931,1,1
239,12,415,24,3423,193,226,184,3186,1,2
101,19,453,64,3747,184,214,192,1620,1,2
19,20,146,-2,2941,198,240,148,4308,1,2
307,12,358,-3,2614,192,197,152,2662,1,1
92,15,177,2,3837,219,222,129,757,1,1
84,7,82,144,2581,200,228,135,2924,1,2
48,9,214,52,2007,229,227,168,4511,1,1
